dataset;id;label;datatype;mandatory;decimals;minlength;maxlength;formatname;contentlength;id_;categorical;value_labels;cols_abb
ds;dspctreacd;Chemotherapy - Code;integer;TRUE;NA;1;NA;YNFMT;0;DSPCTREACD;2;;i
ds;dsctre1;1;text;TRUE;NA;1;NA;CHEMOFMT;0;DSCTRE1;1;;c
ds;dsctre1cd;1 - Code;integer;TRUE;NA;1;NA;CHEMOFMT;0;DSCTRE1CD;2;;i
ds;dsctre2;2;text;TRUE;NA;1;NA;CHEMOFMT;0;DSCTRE2;1;;c
ds;dsctre2cd;2 - Code;integer;TRUE;NA;1;NA;CHEMOFMT;0;DSCTRE2CD;2;;i
ds;dsctre3;3;text;TRUE;NA;1;NA;CHEMOFMT;0;DSCTRE3;1;;c
ds;dsctre3cd;3 - Code;integer;TRUE;NA;1;NA;CHEMOFMT;0;DSCTRE3CD;2;;i
ds;dsctre4;4;text;TRUE;NA;1;NA;CHEMOFMT;0;DSCTRE4;1;;c
ds;dsctre4cd;4 - Code;integer;TRUE;NA;1;NA;CHEMOFMT;0;DSCTRE4CD;2;;i
ds;dsctre5;5;text;TRUE;NA;1;NA;CHEMOFMT;0;DSCTRE5;1;;c
ds;dsctre5cd;5 - Code;integer;TRUE;NA;1;NA;CHEMOFMT;0;DSCTRE5CD;2;;i
ds;dsctre99;99;text;TRUE;NA;1;NA;CHEMOFMT;0;DSCTRE99;1;;c
ds;dsctre99cd;99 - Code;integer;TRUE;NA;1;NA;CHEMOFMT;0;DSCTRE99CD;2;;i
ds;dscdes;Other chemotherapy;text;TRUE;NA;1;NA;NA;0;DSCDES;0;;c
ds;dspitre;Immunotherapy;text;TRUE;NA;1;NA;YNFMT;0;DSPITRE;1;;c
ds;dspitrecd;Immunotherapy - Code;integer;TRUE;NA;1;NA;YNFMT;0;DSPITRECD;2;;i
ds;dsitre1;1;text;TRUE;NA;1;NA;IMMTFMT;0;DSITRE1;1;;c
ds;dsitre1cd;1 - Code;integer;TRUE;NA;1;NA;IMMTFMT;0;DSITRE1CD;2;;i
ds;dsitre2;2;text;TRUE;NA;1;NA;IMMTFMT;0;DSITRE2;1;;c
ds;dsitre2cd;2 - Code;integer;TRUE;NA;1;NA;IMMTFMT;0;DSITRE2CD;2;;i
ds;dsitre99;99;text;TRUE;NA;1;NA;IMMTFMT;0;DSITRE99;1;;c
ds;dsitre99cd;99 - Code;integer;TRUE;NA;1;NA;IMMTFMT;0;DSITRE99CD;2;;i
ds;dsides;Other immunotherapy;text;TRUE;NA;1;NA;NA;0;DSIDES;0;;c
ds;dspotre;Other cancer therapy;text;TRUE;NA;1;NA;YNFMT;0;DSPOTRE;1;;c
ds;dspotrecd;Other cancer therapy - Code;integer;TRUE;NA;1;NA;YNFMT;0;DSPOTRECD;2;;i
ds;dsothct1;1;text;TRUE;NA;1;NA;OTHCTFMT;0;DSOTHCT1;1;;c
ds;dsothct1cd;1 - Code;integer;TRUE;NA;1;NA;OTHCTFMT;0;DSOTHCT1CD;2;;i
ds;dsothct2;2;text;TRUE;NA;1;NA;OTHCTFMT;0;DSOTHCT2;1;;c
ds;dsothct2cd;2 - Code;integer;TRUE;NA;1;NA;OTHCTFMT;0;DSOTHCT2CD;2;;i
