formatname,datatype,codevalue,codetext
NANLCFMT,integer,3,Unarousable/coma
NANLCFMT,integer,96,Not assessed
NANLCFMT,integer,196,Not evaluable
NANOAFMT,integer,0,Able to finger-to-nose touch without difficulty
NANOAFMT,integer,1,Able to finger-to-nose touch but difficult
NANOAFMT,integer,2,Unable to finger-to-nose touch
NANOAFMT,integer,96,Not assessed
NANOAFMT,integer,196,Not evaluable
NANOBFMT,integer,0,Normal
NANOBFMT,integer,1,Mild/moderate alterations
NANOBFMT,integer,2,Severe alteration
NANOBFMT,integer,96,Not assessed
NANOBFMT,integer,196,Not evaluable
NANOFFMT,integer,0,Normal
NANOFFMT,integer,1,Mild/moderate weakness
NANOFFMT,integer,2,Severe facial weakness
NANOFFMT,integer,96,Not assessed
NANOFFMT,integer,196,Not evaluable
NANOGFMT,integer,0,Normal
NANOGFMT,integer,1,Abnormal but walks without assistance
NANOGFMT,integer,2,"Abnormal and requires assistance (companion, cane, walker, etc.)"
NANOGFMT,integer,3,Unable to walk
NANOGFMT,integer,96,Not assessed
NANOGFMT,integer,196,Not evaluable
NANOLFMT,integer,0,Normal
NANOLFMT,integer,1,Abnormal but easily conveys meaning to examiner
NANOLFMT,integer,2,Abnormal and difficulty conveying meaning to examiner
NANOLFMT,integer,3,"Abnormal: if verbal, unable to convey meaning to examiner: OR nonverbal (mute/global aphasia)"
NANOLFMT,integer,96,Not assessed
NANOLFMT,integer,196,Not evaluable
NANOSFMT,integer,0,Normal
NANOSFMT,integer,1,Movement present but decreased against resistance
NANOSFMT,integer,2,Movement present but none against resistance
NANOSFMT,integer,3,No movement
NANOSFMT,integer,96,Not assessed
NANOSFMT,integer,196,Not evaluable
NANOVFMT,integer,0,Normal
NANOVFMT,integer,1,Inconsistent or equivocal partial hemianopsia (>=quadrantanopsia)
NANOVFMT,integer,2,Consistent or unequivocal partial hemianopsia (>=quadrantanopsia)
NANOVFMT,integer,3,Complete hemianopsia
NANOVFMT,integer,96,Not assessed
NANOVFMT,integer,196,Not evaluable
NANSEFMT,integer,0,Normal
NANSEFMT,integer,1,Decreased but aware of sensory modality
NANSEFMT,integer,2,Unaware of sensory modality
NANSEFMT,integer,96,Not assessed
NANSEFMT,integer,196,Not evaluable
OASSFMT,integer,1,Complete response (CR)
OASSFMT,integer,2,Partial response (PR)
OASSFMT,integer,3,Stable disease (SD)
OASSFMT,integer,4,Progressive disease (PD)
OTHCTFMT,integer,1,Chemotherapy
OTHCTFMT,integer,2,Surgery
OTHCTFMT,integer,3,Reirradiation
OTHCTFMT,integer,4,SRS
OTHCTFMT,integer,5,Clinical trials
OTHCTFMT,integer,99,Other
PDCAPFMT,integer,1,Important
PDCAPFMT,integer,2,Not important
PDCATFMT,integer,1,Inclusion/exclusion criteria
PDCATFMT,integer,2,Incorrectly not withdrawn from study or treatment
PDCATFMT,integer,3,Incorrect treatment and/or dose
PDCATFMT,integer,4,Prohibited concomitant medication
PDCATFMT,integer,5,Failure to collect important data
PDCATFMT,integer,7,COVID-19
PDCATFMT,integer,8,Serious breach - SAE notification / safety procedure
PDCATFMT,integer,9,Serious breach - Informed consent
PDCATFMT,integer,10,Serious breach - Other
PDCATFMT,integer,99,Other
PDCATFMT,integer,11,Deviation from protocol
PDREPFMT,integer,1,Principal Investigator
PDREPFMT,integer,2,Investigator
PDREPFMT,integer,3,Study Nurse
PELYMFMT,integer,1,Normal
PELYMFMT,integer,2,"Abnormal, Not Clinically Significant"
PELYMFMT,integer,3,"Abnormal, Clinically Significant"
PELYMFMT,integer,97,NA
PELYMFMT,integer,96,Not done
PEPEFMT,integer,1,Yes
PEPEFMT,integer,0,No
PNNAFMT,integer,1,Positive
PNNAFMT,integer,2,Negative
PNNAFMT,integer,97,Not applicable
QLQ30FMT,integer,1,Ikke i det hele tatt
QLQ30FMT,integer,2,Litt
QLQ30FMT,integer,3,En del
QLQ30FMT,integer,4,Svært mye
RADFMT,integer,1,WBRT
RADFMT,integer,2,Partial brain
RADFMT,integer,3,SRS
RANS2FMT,integer,1,Cycle 1 - day 1
RANS2FMT,integer,15,Cycle 2 - day 15
RANS2FMT,integer,29,Cycle 3 - day 29
RANS2FMT,integer,91,Cycle 2 - day 91
RANS2FMT,integer,181,Cycle 3 - day 181
RANSTFMT,string,1,Cycle 1 - day 1
RANSTFMT,string,15,Cycle 2 - day 15
RANSTFMT,string,29,Cycle 3 - day 29
RANSTFMT,string,91,Cycle 2 - day 91
RANSTFMT,string,181,Cycle 3 - day 181
RTRTFMT,string,AR1_1,AR1_1
RTRTFMT,string,AR1_2,AR1_2
RTRTFMT,string,AR1_3,AR1_3
RTRTFMT,string,AR2_4,AR2_4
RTRTFMT,string,AR2_5,AR2_5
RTRTFMT,string,AR2_6,AR2_6
RTRTFMT,string,AR3_1,AR3_1
RTRTFMT,string,AR3_2,AR3_2
RTRTFMT,string,AR3_3,AR3_3
RTRTFMT,string,AN1_1,AN1_1
RTRTFMT,string,AN1_2,AN1_2
RTRTFMT,string,AN1_3,AN1_3
RTRTFMT,string,AN2_4,AN2_4
RTRTFMT,string,AN2_5,AN2_5
RTRTFMT,string,AN2_6,AN2_6
RTRTFMT,string,AN3_1,AN3_1
RTRTFMT,string,AN3_2,AN3_2
RTRTFMT,string,AN3_3,AN3_3
RTRTFMT,string,BM1,BM1
RTRTFMT,string,BM2,BM2
RTRTFMT,string,BM3,BM3
SCAL7FMT,integer,1,1  - Svært dårlig
SCAL7FMT,integer,2,2
SCAL7FMT,integer,3,3
SCAL7FMT,integer,4,4
SCAL7FMT,integer,5,5
SCAL7FMT,integer,6,6
SCAL7FMT,integer,7,7 - Helt utmerket
SEVCFMT,integer,1,Mild
SEVCFMT,integer,2,Moderate
SEVCFMT,integer,3,Severe
SEVCFMT,integer,4,Life-threatening
SEVCFMT,integer,5,Death
SEVCFMT,integer,97,Not applicable
SEVCTFMT,integer,1,Mild
SEVCTFMT,integer,2,Moderate
SEVCTFMT,integer,3,Severe
SEVCTFMT,integer,4,Life-threatening
SEVCTFMT,integer,5,Death
SEVFMT,integer,1,Mild
SEVFMT,integer,2,Moderate
SEVFMT,integer,3,Severe
SEXFMT,string,1,Male
SEXFMT,string,2,Female
STAGEFMT,string,Recurrent glioblastoma,Recurrent glioblastoma
STAGEFMT,string,Newly diagnosed glioblastoma,Newly diagnosed glioblastoma
STAGEFMT,string,Brain metastases,Brain metastases
TIMTFMT,integer,1,Prior to study entry
TIMTFMT,integer,2,After progression
TIMTFMT,integer,3,After end of treatment
TRTFMT,integer,1,Procedure
TRTFMT,integer,2,Medication
TRTFMT,integer,0,None
VSYNFMT,integer,1,Yes
VSYNFMT,integer,0,No
VSYNFMT,integer,2,Women not of childbearing potential
YES2FMT,integer,1,NA
YESFMT,integer,1,Yes
YN2FMT,integer,1,Yes
YN2FMT,integer,0,No
YNFMT,integer,1,Yes
YNFMT,integer,0,No
YNNAFMT,integer,1,Yes
YNNAFMT,integer,0,No
YNNAFMT,integer,97,NA
YNUNKFMT,integer,1,Yes
YNUNKFMT,integer,0,No
YNUNKFMT,integer,98,Uncertain
